period,trades,wins,losses,win_rate,net_pnl,profit_factor,max_dd_pct,final_balance,return_pct,symbol
1 Week,5,0,5,0.0,-151.36,0.0,1.51,9848.64,-1.51,XAUUSDm
1 Month,80,10,70,12.5,1217.35,1.53,6.78,11217.35,12.17,XAUUSDm
1 Week,2,1,1,50.0,354.58,2.17,3.02,10354.58,3.55,EURUSDm
1 Month,5,1,4,20.0,-543.85,0.52,11.42,9456.15,-5.44,EURUSDm
1 Week,3,1,2,33.3,469.24,1.72,5.89,10469.24,4.69,US30m
1 Month,33,5,28,15.2,246.64,1.03,31.22,10246.64,2.47,US30m
1 Week,5,1,4,20.0,-400.89,0.67,6.01,9599.11,-4.01,XAGUSDm
1 Month,66,11,55,16.7,44917.42,1.57,28.18,54917.42,449.17,XAGUSDm
1 Week,8,1,7,12.5,-1464.64,0.26,14.65,8535.36,-14.65,USOILm
1 Month,52,7,45,13.5,-4915.66,0.5,55.1,5084.34,-49.16,USOILm
